Ticker,Avg Increase,Avg Decrease
MSFT,24%,-19%
MARA,297%,-52%
JNJ,6%,-6%
KO,7%,-4%
TSLA,82%,-38%
WMT,29%,-3%
JPM,25%,-8%
IBM,21%,0%
V,17%,-2%
