Date,AMZN,DPZ,NFLX
2016-01-04,636.98999,105.820778,109.959999
2016-01-05,633.789978,106.498924,107.660004
2016-01-06,632.650024,106.343918,117.68
2016-01-07,607.940002,103.418175,114.559998
2016-01-08,607.049988,105.568909,111.389999
2016-01-11,617.73999,102.904724,114.970001
2016-01-12,617.890015,106.334229,116.580002
2016-01-13,581.809998,104.590416,106.559998
2016-01-14,593.0,103.796005,107.059998
2016-01-15,570.179993,100.909019,104.040001
2016-01-19,574.47998,101.645302,107.889999
2016-01-20,571.77002,103.13723,107.739998
2016-01-21,575.02002,104.348228,102.349998
2016-01-22,596.380005,108.116798,100.720001
2016-01-25,596.530029,107.273956,99.120003
2016-01-26,601.25,108.669029,97.830002
2016-01-27,583.349976,107.593666,91.150002
2016-01-28,635.349976,108.698074,94.410004
2016-01-29,587.0,110.374084,91.839996
2016-02-01,574.809998,110.780983,94.089996
2016-02-02,552.099976,110.199699,91.489998
2016-02-03,531.070007,110.248154,90.739998
2016-02-04,536.26001,110.441902,89.709999
2016-02-05,502.130005,106.925194,82.790001
2016-02-08,488.100006,104.784172,83.32
2016-02-09,482.070007,102.323463,86.129997
2016-02-10,490.480011,103.660378,88.449997
2016-02-11,503.820007,103.563492,86.349998
2016-02-12,507.079987,106.082344,87.400002
2016-02-16,521.099976,107.613045,89.050003
2016-02-17,534.099976,109.424683,94.760002
2016-02-18,525.0,108.543076,90.489998
2016-02-19,534.900024,109.347176,89.230003
2016-02-22,559.5,111.497887,91.93
2016-02-23,552.940002,113.948914,89.120003
2016-02-24,554.039978,113.93924,91.610001
2016-02-25,555.150024,128.752014,94.529999
2016-02-26,555.22998,130.195526,94.790001
2016-02-29,552.52002,128.887619,93.410004
2016-03-01,579.039978,129.962982,98.300003
2016-03-02,580.210022,128.907028,97.610001
2016-03-03,577.48999,128.693909,97.93
2016-03-04,575.140015,128.839203,101.580002
2016-03-07,562.799988,129.837067,95.489998
2016-03-08,560.26001,130.050201,96.230003
2016-03-09,559.469971,129.604553,98.0
2016-03-10,558.929993,128.858582,97.360001
2016-03-11,569.609985,127.974449,97.660004
2016-03-14,573.369995,128.878021,98.129997
2016-03-15,577.02002,127.469254,97.860001
2016-03-16,574.27002,128.100769,99.349998
2016-03-17,559.440002,127.537231,99.720001
2016-03-18,552.080017,127.090317,101.120003
2016-03-21,553.97998,127.440117,101.059998
2016-03-22,560.47998,127.012566,99.839996
2016-03-23,569.630005,126.41996,99.589996
2016-03-24,582.950012,125.079201,98.360001
2016-03-28,579.869995,125.477516,101.209999
2016-03-29,593.859985,126.390793,104.129997
2016-03-30,598.690002,127.245789,102.190002
2016-03-31,593.640015,128.110474,102.230003
2016-04-01,598.5,129.674698,105.699997
2016-04-04,593.190002,129.567825,104.349998
2016-04-05,586.140015,128.557404,104.940002
2016-04-06,602.080017,132.074448,104.830002
2016-04-07,591.429993,132.385361,104.449997
2016-04-08,594.599976,133.152924,103.809998
2016-04-11,595.929993,133.337479,102.68
2016-04-12,603.169983,132.85173,106.980003
2016-04-13,614.820007,133.240311,109.650002
2016-04-14,620.75,133.366623,110.419998
2016-04-15,625.890015,134.678253,111.510002
2016-04-18,635.349976,134.707397,108.400002
2016-04-19,627.900024,133.609497,94.339996
2016-04-20,632.98999,136.028717,96.769997
2016-04-21,631.0,133.978714,94.980003
2016-04-22,620.5,128.644821,95.900002
2016-04-25,626.200012,129.869003,93.559998
2016-04-26,616.880005,130.00502,92.43
2016-04-27,606.570007,129.830139,91.040001
2016-04-28,602.0,117.044357,90.279999
2016-04-29,659.590027,117.442688,90.029999
2016-05-02,683.849976,116.947197,93.110001
2016-05-03,671.320007,115.188667,91.540001
2016-05-04,670.900024,115.635574,90.790001
2016-05-05,659.090027,116.519707,89.370003
2016-05-06,673.950012,115.917336,90.839996
